{'market_cap': 1970604000000, 'name': 'KODEX 레버리지', 'date': '20180130', 'industry': 'ETF', 'price': '19095', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '122630', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 472616587606, 'name': '우리종금', 'date': '20180130', 'industry': '기타금융업', 'price': '701', 'pbr': 1.99, 'eps': '49', 'market_type': 'KOSPI', 'bps': '352', 'industry_per': '9.82', 'code': '010050', 'per': '14.31', 'foreign_ratio': '1.22', 'face_val': '500', 'foreign_limit': '674203406', 'foreign_possession': '8204848', 'yield_ret': 0}
{'market_cap': 374665969920, 'name': '티웨이홀딩스', 'date': '20180130', 'industry': '전기전자', 'price': '5280', 'pbr': 7.26, 'eps': '51', 'market_type': 'KOSPI', 'bps': '727', 'industry_per': '-10.55', 'code': '004870', 'per': '103.53', 'foreign_ratio': '5.56', 'face_val': '500', 'foreign_limit': '70959464', 'foreign_possession': '3944592', 'yield_ret': 0}
{'market_cap': 1321164000000, 'name': 'KODEX 코스닥150 레버리지', 'date': '20180130', 'industry': 'ETF', 'price': '28230', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '233740', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 133256500000, 'name': 'KODEX 코스닥150선물인버스', 'date': '20180130', 'industry': 'ETF', 'price': '5395', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '251340', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 325852364500, 'name': '아남전자', 'date': '20180130', 'industry': '전기전자', 'price': '4225', 'pbr': 4.61, 'eps': '37', 'market_type': 'KOSPI', 'bps': '916', 'industry_per': '217.16', 'code': '008700', 'per': '114.19', 'foreign_ratio': '0.62', 'face_val': '500', 'foreign_limit': '77124820', 'foreign_possession': '478476', 'yield_ret': 0}
{'market_cap': 449764625255, 'name': 'SK증권', 'date': '20180130', 'industry': '증권', 'price': '1405', 'pbr': 1.06, 'eps': '35', 'market_type': 'KOSPI', 'bps': '1327', 'industry_per': '23.06', 'code': '001510', 'per': '40.14', 'foreign_ratio': '7.01', 'face_val': '500', 'foreign_limit': '320117171', 'foreign_possession': '22427096', 'yield_ret': 0}
{'market_cap': 3747900000000, 'name': '삼성중공업', 'date': '20180130', 'industry': '운수장비', 'price': '9610', 'pbr': 0.56, 'eps': '-433', 'market_type': 'KOSPI', 'bps': '17203', 'industry_per': '-6.50', 'code': '010140', 'per': '-22.19', 'foreign_ratio': '19.53', 'face_val': '5000', 'foreign_limit': '390000000', 'foreign_possession': '76148198', 'yield_ret': 0}
{'market_cap': 326008367800, 'name': 'GS글로벌', 'date': '20180130', 'industry': '유통업', 'price': '3950', 'pbr': 1.04, 'eps': '301', 'market_type': 'KOSPI', 'bps': '3789', 'industry_per': '-20.16', 'code': '001250', 'per': '13.12', 'foreign_ratio': '5.02', 'face_val': '2500', 'foreign_limit': '82533764', 'foreign_possession': '4144084', 'yield_ret': '2.15'}
{'market_cap': 66505076770, 'name': '한창', 'date': '20180130', 'industry': '유통업', 'price': '1930', 'pbr': 1.6, 'eps': '123', 'market_type': 'KOSPI', 'bps': '1209', 'industry_per': '-22.80', 'code': '005110', 'per': '15.69', 'foreign_ratio': '4.68', 'face_val': '500', 'foreign_limit': '34458589', 'foreign_possession': '1614107', 'yield_ret': '1.09'}
{'market_cap': 719900000000, 'name': 'KODEX 인버스', 'date': '20180130', 'industry': 'ETF', 'price': '5750', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '114800', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
